report_id,description,sif_potential
REP-1000,Worker doing welding near pressurized gas line without fire watch.,1
REP-1001,"Tripped on an extension cord in the office hallway, no injury.",0
REP-1002,Entering confined space for inspection without oxygen monitoring.,1
REP-1003,Slipped on wet floor in the cafeteria.,0
REP-1004,Working on a scaffold at 10 meters without safety harness tied off.,1
REP-1005,Scratched arm while opening a cardboard box in the storeroom.,0
REP-1006,Electrical panel left open with live wires exposed during maintenance.,1
REP-1007,"Dropped a heavy wrench from 2nd floor, narrowly missing a worker below.",1
REP-1008,Dust fell in eye due to not wearing safety goggles.,0
REP-1009,Forklift driving at high speed in a pedestrian walking zone.,1
REP-1010,Worker doing welding near pressurized gas line without fire watch.,1
REP-1011,"Tripped on an extension cord in the office hallway, no injury.",0
REP-1012,Entering confined space for inspection without oxygen monitoring.,1
REP-1013,Slipped on wet floor in the cafeteria.,0
REP-1014,Working on a scaffold at 10 meters without safety harness tied off.,1
REP-1015,Scratched arm while opening a cardboard box in the storeroom.,0
REP-1016,Electrical panel left open with live wires exposed during maintenance.,1
REP-1017,"Dropped a heavy wrench from 2nd floor, narrowly missing a worker below.",1
REP-1018,Dust fell in eye due to not wearing safety goggles.,0
REP-1019,Forklift driving at high speed in a pedestrian walking zone.,1
REP-1020,Worker doing welding near pressurized gas line without fire watch.,1
REP-1021,"Tripped on an extension cord in the office hallway, no injury.",0
REP-1022,Entering confined space for inspection without oxygen monitoring.,1
REP-1023,Slipped on wet floor in the cafeteria.,0
REP-1024,Working on a scaffold at 10 meters without safety harness tied off.,1
REP-1025,Scratched arm while opening a cardboard box in the storeroom.,0
REP-1026,Electrical panel left open with live wires exposed during maintenance.,1
REP-1027,"Dropped a heavy wrench from 2nd floor, narrowly missing a worker below.",1
REP-1028,Dust fell in eye due to not wearing safety goggles.,0
REP-1029,Forklift driving at high speed in a pedestrian walking zone.,1
REP-1030,Worker doing welding near pressurized gas line without fire watch.,1
REP-1031,"Tripped on an extension cord in the office hallway, no injury.",0
REP-1032,Entering confined space for inspection without oxygen monitoring.,1
REP-1033,Slipped on wet floor in the cafeteria.,0
REP-1034,Working on a scaffold at 10 meters without safety harness tied off.,1
REP-1035,Scratched arm while opening a cardboard box in the storeroom.,0
REP-1036,Electrical panel left open with live wires exposed during maintenance.,1
REP-1037,"Dropped a heavy wrench from 2nd floor, narrowly missing a worker below.",1
REP-1038,Dust fell in eye due to not wearing safety goggles.,0
REP-1039,Forklift driving at high speed in a pedestrian walking zone.,1
REP-1040,Worker doing welding near pressurized gas line without fire watch.,1
REP-1041,"Tripped on an extension cord in the office hallway, no injury.",0
REP-1042,Entering confined space for inspection without oxygen monitoring.,1
REP-1043,Slipped on wet floor in the cafeteria.,0
REP-1044,Working on a scaffold at 10 meters without safety harness tied off.,1
REP-1045,Scratched arm while opening a cardboard box in the storeroom.,0
REP-1046,Electrical panel left open with live wires exposed during maintenance.,1
REP-1047,"Dropped a heavy wrench from 2nd floor, narrowly missing a worker below.",1
REP-1048,Dust fell in eye due to not wearing safety goggles.,0
REP-1049,Forklift driving at high speed in a pedestrian walking zone.,1
REP-1050,Worker doing welding near pressurized gas line without fire watch.,1
REP-1051,"Tripped on an extension cord in the office hallway, no injury.",0
REP-1052,Entering confined space for inspection without oxygen monitoring.,1
REP-1053,Slipped on wet floor in the cafeteria.,0
REP-1054,Working on a scaffold at 10 meters without safety harness tied off.,1
REP-1055,Scratched arm while opening a cardboard box in the storeroom.,0
REP-1056,Electrical panel left open with live wires exposed during maintenance.,1
REP-1057,"Dropped a heavy wrench from 2nd floor, narrowly missing a worker below.",1
REP-1058,Dust fell in eye due to not wearing safety goggles.,0
REP-1059,Forklift driving at high speed in a pedestrian walking zone.,1
REP-1060,Worker doing welding near pressurized gas line without fire watch.,1
REP-1061,"Tripped on an extension cord in the office hallway, no injury.",0
REP-1062,Entering confined space for inspection without oxygen monitoring.,1
REP-1063,Slipped on wet floor in the cafeteria.,0
REP-1064,Working on a scaffold at 10 meters without safety harness tied off.,1
REP-1065,Scratched arm while opening a cardboard box in the storeroom.,0
REP-1066,Electrical panel left open with live wires exposed during maintenance.,1
REP-1067,"Dropped a heavy wrench from 2nd floor, narrowly missing a worker below.",1
REP-1068,Dust fell in eye due to not wearing safety goggles.,0
REP-1069,Forklift driving at high speed in a pedestrian walking zone.,1
REP-1070,Worker doing welding near pressurized gas line without fire watch.,1
REP-1071,"Tripped on an extension cord in the office hallway, no injury.",0
REP-1072,Entering confined space for inspection without oxygen monitoring.,1
REP-1073,Slipped on wet floor in the cafeteria.,0
REP-1074,Working on a scaffold at 10 meters without safety harness tied off.,1
REP-1075,Scratched arm while opening a cardboard box in the storeroom.,0
REP-1076,Electrical panel left open with live wires exposed during maintenance.,1
REP-1077,"Dropped a heavy wrench from 2nd floor, narrowly missing a worker below.",1
REP-1078,Dust fell in eye due to not wearing safety goggles.,0
REP-1079,Forklift driving at high speed in a pedestrian walking zone.,1
REP-1080,Worker doing welding near pressurized gas line without fire watch.,1
REP-1081,"Tripped on an extension cord in the office hallway, no injury.",0
REP-1082,Entering confined space for inspection without oxygen monitoring.,1
REP-1083,Slipped on wet floor in the cafeteria.,0
REP-1084,Working on a scaffold at 10 meters without safety harness tied off.,1
REP-1085,Scratched arm while opening a cardboard box in the storeroom.,0
REP-1086,Electrical panel left open with live wires exposed during maintenance.,1
REP-1087,"Dropped a heavy wrench from 2nd floor, narrowly missing a worker below.",1
REP-1088,Dust fell in eye due to not wearing safety goggles.,0
REP-1089,Forklift driving at high speed in a pedestrian walking zone.,1
REP-1090,Worker doing welding near pressurized gas line without fire watch.,1
REP-1091,"Tripped on an extension cord in the office hallway, no injury.",0
REP-1092,Entering confined space for inspection without oxygen monitoring.,1
REP-1093,Slipped on wet floor in the cafeteria.,0
REP-1094,Working on a scaffold at 10 meters without safety harness tied off.,1
REP-1095,Scratched arm while opening a cardboard box in the storeroom.,0
REP-1096,Electrical panel left open with live wires exposed during maintenance.,1
REP-1097,"Dropped a heavy wrench from 2nd floor, narrowly missing a worker below.",1
REP-1098,Dust fell in eye due to not wearing safety goggles.,0
REP-1099,Forklift driving at high speed in a pedestrian walking zone.,1
