report_id,description,report_type,location,department,hazard_category,unsafe_act,unsafe_condition,context,label,sif_potential,risk_level
REP-2001,Worker entered confined space vessel without gas testing prior to entry.,UNSAFE_ACT,Processing Plant A,Operations,CONFINED_SPACE,UNAUTHORIZED_ENTRY,NO_GAS_TESTING,UNSAFE_BEHAVIOR,SIF_PRECURSOR,1,CRITICAL
REP-2002,Worker completed gas testing before entering vessel and used required PPE and oxygen monitor.,SAFE_COMPLIANCE,Vessel V-102,Operations,CONFINED_SPACE,NONE,NONE,SAFE_COMPLIANCE,SIF_PRECURSOR,1,LOW
REP-2003,Worker did not enter confined space because gas testing was not completed.,PREVENTED_EVENT,Separator Unit 1,Operations,CONFINED_SPACE,NONE,NONE,PREVENTED_EVENT,SIF_PRECURSOR,1,LOW
REP-2004,Worker entered storage tank without breathing apparatus when H2S alarm was sounding.,UNSAFE_ACT,Storage Tank 8,Operations,CONFINED_SPACE,NO_SCBA,H2S_ATMOSPHERE,UNSAFE_BEHAVIOR,SIF_PRECURSOR,1,CRITICAL
REP-2005,Technician performed gas testing and confirmed 20.9% oxygen before entering vessel.,SAFE_COMPLIANCE,Distillation Unit,Operations,CONFINED_SPACE,NONE,NONE,SAFE_COMPLIANCE,NON_SIF_PRECURSOR,0,LOW
REP-2006,Work stopped immediately when gas detector alarm indicated 5% LEL hydrocarbon gas.,PREVENTED_EVENT,Tank Farm A,Safety,CONFINED_SPACE,NONE,GAS_DETECTED,PREVENTED_EVENT,NON_SIF_PRECURSOR,0,LOW
REP-2007,Contractor entered nitrogen purged column without air-supplied respirator.,UNSAFE_ACT,Column C-301,Maintenance,CONFINED_SPACE,NO_RESPIRATOR,NITROGEN_PURGED,UNSAFE_BEHAVIOR,SIF_PRECURSOR,1,CRITICAL
REP-2008,Standby attendant left entry portal unguarded while two men were inside reactor vessel.,UNSAFE_ACT,Reactor R-101,Operations,CONFINED_SPACE,UNATTENDED_ENTRY,NO_STANDBY_MAN,UNSAFE_BEHAVIOR,SIF_PRECURSOR,1,CRITICAL
REP-2009,Confined space entry permit verified and signed by safety supervisor before work started.,SAFE_COMPLIANCE,Desalter V-204,HSE,CONFINED_SPACE,NONE,NONE,SAFE_COMPLIANCE,NON_SIF_PRECURSOR,0,LOW
REP-2010,Forced air ventilation fan installed and continuous gas monitoring maintained during tank cleaning.,SAFE_COMPLIANCE,Slop Tank 4,Maintenance,CONFINED_SPACE,NONE,NONE,SAFE_COMPLIANCE,NON_SIF_PRECURSOR,0,LOW
REP-2011,Worker collapsed inside mud pit due to toxic vapor accumulation without ventilation.,NEAR_MISS,Drilling Rig 2 Mud Pit,Drilling,CONFINED_SPACE,NO_VENTILATION,TOXIC_VAPOR,UNSAFE_BEHAVIOR,SIF_PRECURSOR,1,CRITICAL
REP-2012,Technician refused vessel entry because oxygen level measured 18.5% below safe limit.,PREVENTED_EVENT,Condensate Tank,Operations,CONFINED_SPACE,NONE,LOW_OXYGEN,PREVENTED_EVENT,NON_SIF_PRECURSOR,0,LOW
REP-2013,Entrant used non-explosion proof flashlight inside hydrocarbon storage vessel.,UNSAFE_ACT,Crude Tank 12,Maintenance,CONFINED_SPACE,NON_EX_EQUIPMENT,FLAMMABLE_ATMOSPHERE,UNSAFE_BEHAVIOR,SIF_PRECURSOR,1,HIGH
REP-2014,Emergency rescue tripod and winch setup inspected at manhole prior to tank entry.,SAFE_COMPLIANCE,Lube Oil Tank,Safety,CONFINED_SPACE,NONE,NONE,SAFE_COMPLIANCE,NON_SIF_PRECURSOR,0,LOW
REP-2015,No life line or rescue harness attached to worker inside underground pit.,UNSAFE_CONDITION,Sump Pit 5,Civil,CONFINED_SPACE,NO_HARNESS,UNPROTECTED_PIT,UNSAFE_BEHAVIOR,SIF_PRECURSOR,1,HIGH
REP-2016,Gas detector calibrated successfully prior to shift start in confined space team.,SAFE_COMPLIANCE,Instrument Shop,HSE,CONFINED_SPACE,NONE,NONE,SAFE_COMPLIANCE,NON_SIF_PRECURSOR,0,LOW
REP-2017,Entry supervisor halted work due to missing attendant sign-in log at vessel hatch.,PREVENTED_EVENT,Boiler Drum,Operations,CONFINED_SPACE,NONE,PROCEDURAL_GAP,PREVENTED_EVENT,NON_SIF_PRECURSOR,0,LOW
REP-2018,Pipe fitter entered pressurized sphere without verifying isolation blank installed.,UNSAFE_ACT,LPG Sphere 2,Operations,CONFINED_SPACE,NO_ISOLATION,PRESSURIZED_SYSTEM,UNSAFE_BEHAVIOR,SIF_PRECURSOR,1,CRITICAL
REP-2019,Rescue team conducted confined space drill with full SCBA gear.,SAFE_COMPLIANCE,Fire Station Yard,Fire & Safety,CONFINED_SPACE,NONE,NONE,SAFE_COMPLIANCE,NON_SIF_PRECURSOR,0,LOW
REP-2020,Worker entered flare knockout drum without toxic gas monitor attached to collar.,UNSAFE_ACT,Flare KOD,Operations,CONFINED_SPACE,NO_MONITOR,TOXIC_RISK,UNSAFE_BEHAVIOR,SIF_PRECURSOR,1,HIGH
REP-2021,Tank cleaning crew used 24V low voltage explosion-proof lighting inside vessel.,SAFE_COMPLIANCE,Naphtha Tank 6,Maintenance,CONFINED_SPACE,NONE,NONE,SAFE_COMPLIANCE,NON_SIF_PRECURSOR,0,LOW
REP-2022,Worker felt dizzy inside hydrocarbon drain pit due to lack of fresh air circulation.,NEAR_MISS,Drain Pit B,Operations,CONFINED_SPACE,NO_VENTILATION,GAS_ACCUMULATION,UNSAFE_BEHAVIOR,SIF_PRECURSOR,1,CRITICAL
REP-2023,Continuous multigas monitor recorded 20.9% O2 0 ppm H2S 0 LEL throughout shift.,SAFE_COMPLIANCE,Sphere 1,Operations,CONFINED_SPACE,NONE,NONE,SAFE_COMPLIANCE,NON_SIF_PRECURSOR,0,LOW
REP-2024,Worker refused to enter sewer vault until forced extraction fan was deployed.,PREVENTED_EVENT,Industrial Drain,Civil,CONFINED_SPACE,NONE,VENTILATION_NEEDED,PREVENTED_EVENT,NON_SIF_PRECURSOR,0,LOW
REP-2025,Atmospheric testing omitted before sending maintenance crew into heater firebox.,UNSAFE_ACT,Heater H-101,Maintenance,CONFINED_SPACE,NO_TESTING,HAZARDOUS_ATMOSPHERE,UNSAFE_BEHAVIOR,SIF_PRECURSOR,1,CRITICAL
REP-2026,Confined space warning sign posted at vessel entrance to prevent unauthorized access.,SAFE_COMPLIANCE,Distillation Column,Safety,CONFINED_SPACE,NONE,NONE,SAFE_COMPLIANCE,NON_SIF_PRECURSOR,0,LOW
REP-2027,Standby attendant maintained visual and radio contact with entrant every 5 minutes.,SAFE_COMPLIANCE,Vessel V-301,Operations,CONFINED_SPACE,NONE,NONE,SAFE_COMPLIANCE,NON_SIF_PRECURSOR,0,LOW
REP-2028,Unvented gas hose left inside closed vessel overnight creating ignition hazard.,UNSAFE_CONDITION,Reactor R-202,Maintenance,CONFINED_SPACE,LEFT_HOSE,GAS_LEAK_RISK,UNSAFE_BEHAVIOR,SIF_PRECURSOR,1,HIGH
REP-2029,Worker disconnected lifeline inside vessel to reach far wall without backup rescue line.,UNSAFE_ACT,Tank 14,Maintenance,CONFINED_SPACE,UNHOOKED_LIFELINE,UNPROTECTED_RESCUE,UNSAFE_BEHAVIOR,SIF_PRECURSOR,1,HIGH
REP-2030,Gas testing log updated hourly and displayed at manhole structure.,SAFE_COMPLIANCE,Unit 4 Separator,Operations,CONFINED_SPACE,NONE,NONE,SAFE_COMPLIANCE,NON_SIF_PRECURSOR,0,LOW
REP-2031,Technician working on elevated scaffold at 8 meters without fall arrest harness.,UNSAFE_ACT,Drilling Rig 4,Maintenance,WORKING_AT_HEIGHT,NO_HARNESS,ELEVATED_SCAFFOLD,UNSAFE_BEHAVIOR,SIF_PRECURSOR,1,HIGH
REP-2032,Operator unhooked safety lanyard while working on open roof edge at 12 meters height.,UNSAFE_ACT,Boiler House,Maintenance,WORKING_AT_HEIGHT,UNHOOKED_LANYARD,OPEN_ROOF_EDGE,UNSAFE_BEHAVIOR,SIF_PRECURSOR,1,CRITICAL
REP-2033,Worker used full body safety harness with double lanyard attached to anchor point.,SAFE_COMPLIANCE,Scaffold Station 5,Maintenance,WORKING_AT_HEIGHT,NONE,NONE,SAFE_COMPLIANCE,NON_SIF_PRECURSOR,0,LOW
REP-2034,Unsecured wooden board fell from scaffold platform at 5 meters height.,UNSAFE_CONDITION,New Rig Site,Construction,WORKING_AT_HEIGHT,UNSECURED_BOARD,DROPPED_OBJECT_RISK,UNSAFE_BEHAVIOR,SIF_PRECURSOR,1,HIGH
REP-2035,Loose handrail noticed on stairway leading to platform level 2.,UNSAFE_CONDITION,Platform B,Maintenance,WORKING_AT_HEIGHT,NONE,LOOSE_HANDRAIL,UNSAFE_BEHAVIOR,SIF_PRECURSOR,1,HIGH
REP-2036,Painter stood on top railing of scissor lift at 6 meters to reach ceiling beam.,UNSAFE_ACT,Workshop 1,Maintenance,WORKING_AT_HEIGHT,STANDING_ON_RAILING,SCISSOR_LIFT_MISUSE,UNSAFE_BEHAVIOR,SIF_PRECURSOR,1,CRITICAL
REP-2037,Scaffolding tag inspected and verified green safe for use tag before climbing.,SAFE_COMPLIANCE,Flare Structure,Safety,WORKING_AT_HEIGHT,NONE,NONE,SAFE_COMPLIANCE,NON_SIF_PRECURSOR,0,LOW
REP-2038,Technician connected safety lanyard before starting maintenance work at height.,SAFE_COMPLIANCE,Piperack Level 3,Maintenance,WORKING_AT_HEIGHT,NONE,NONE,SAFE_COMPLIANCE,NON_SIF_PRECURSOR,0,LOW
REP-2039,Scaffolding toe boards and double guardrails installed properly on work platform.,SAFE_COMPLIANCE,Unit 2 Platform,Civil,WORKING_AT_HEIGHT,NONE,NONE,SAFE_COMPLIANCE,NON_SIF_PRECURSOR,0,LOW
REP-2040,Rigger slipped on oily grating at 15 meters platform and was saved by fall arrest lanyard.,NEAR_MISS,Offshore Platform A,Operations,WORKING_AT_HEIGHT,SLIP_HAZARD,OILY_GRATING,NEAR_MISS,SIF_PRECURSOR,1,CRITICAL
REP-2041,Worker did not climb uninspected scaffold red tagged incomplete structure.,PREVENTED_EVENT,Storage Area 2,Safety,WORKING_AT_HEIGHT,NONE,RED_TAGGED_SCAFFOLD,PREVENTED_EVENT,NON_SIF_PRECURSOR,0,LOW
